title,year,genre,cast_hint,director,plot_hint,tagline_text
Elizabeth,1998,"Drama, History","Cate Blanchett, Joseph Fiennes, Geoffrey Rush",,"The story of the ascension to the throne and the early reign of Queen Elizabeth the First, the endless attempts by her council to marry her off, the Catholic hatred of her and her romance with Lord Robert Dudley.",Declared illegitimate aged 3. Tried for treason aged 21. Crowned Queen aged 25.
Elvis,2022,"Music, History, Drama","Austin Butler, Tom Hanks, Olivia DeJonge",,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",The Man. The Legend. The King of Rock & Roll.
Emilia Pérez,2024,"Drama, Thriller","Zoe Saldaña, Karla Sofía Gascón, Selena Gomez",,"Rita, an underrated lawyer working for a large law firm more interested in getting criminals out of jail than bringing them to justice, is hired by the leader of a criminal organization.",Passion has a new name.
Encanto,2021,"Animation, Comedy, Family","Stephanie Beatriz, María Cecilia Botero, John Leguizamo",,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",There's a little magic in all of us...almost all of us.
Enter the Dragon,1973,Action,"Bruce Lee, John Saxon, Jim Kelly",,A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.,Their deadly mission: to crack the forbidden island of Han!
Erin Brockovich,2000,Drama,"Julia Roberts, Albert Finney, Aaron Eckhart",,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.",She brought a small town to its feet and a huge company to its knees.
Escape from Alcatraz,1979,"Drama, Thriller","Clint Eastwood, Patrick McGoohan, Roberts Blossom",,"San Francisco Bay, January 18, 1960. Frank Lee Morris is transferred to Alcatraz, a maximum security prison located on a rocky island. Although no one has ever managed to escape from there, Frank and other inmates begin to carefully prepare an escape plan.",No one has ever escaped from Alcatraz… and no one ever will!
Eternal Sunshine of the Spotless Mind,2004,"Science Fiction, Drama, Romance","Jim Carrey, Kate Winslet, Kirsten Dunst",,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",You can erase someone from your mind. Getting them out of your heart is another story.
Eternals,2021,"Science Fiction, Action, Adventure","Gemma Chan, Richard Madden, Angelina Jolie",,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",In the beginning...
Every Which Way but Loose,1978,"Action, Comedy, Adventure","Clint Eastwood, Sondra Locke, Geoffrey Lewis",,"Philo Beddoe is your regular, easygoing, truck-driving guy. He's also the best bar-room brawler west of the Rockies. And he lives with a 165-pound orangutan named Clyde. Like other guys, Philo finally falls in love - with a flighty singer who leads him on a screwball chase across the American Southwest. Nothing's in the way except a motorcycle gang, some cops, and legendary brawler Tank Murdock.",Clint Eastwood will turn you Every Which Way But Loose
Everything Everywhere All at Once,2022,"Action, Adventure, Science Fiction","Michelle Yeoh, Stephanie Hsu, Ke Huy Quan",,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",The universe is so much bigger than you realize.
Extremely Loud & Incredibly Close,2011,Drama,"Tom Hanks, Sandra Bullock, Thomas Horn",,"A year after his father's death, Oskar, a troubled young boy, discovers a mysterious key he believes was left for him by his father and embarks on a scavenger hunt to find the matching lock.","This is not a story about September 11th, it's a story about every day after."
F1,2025,"Action, Drama","Brad Pitt, Damson Idris, Javier Bardem",,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,Let's ride.
F9,2021,"Action, Adventure, Crime","Vin Diesel, Michelle Rodriguez, Tyrese Gibson",,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,Not all blood is family.
Face/Off,1997,"Action, Crime, Science Fiction","John Travolta, Nicolas Cage, Joan Allen",,"In order to foil a terrorist plot, an FBI agent undergoes facial transplant surgery and assumes the identity of a criminal mastermind. The plan turns sour when the criminal wakes up prematurely and seeks revenge.","In order to trap him, he must become him."
Fame,1980,"Drama, Music","Irene Cara, Barry Miller, Maureen Teefy",,A chronicle of the lives of several teenagers who attend a New York high school for students gifted in the performing arts.,"If they've really got what it takes, it's going to take everything they've got."
Fantastic Beasts and Where to Find Them,2016,"Fantasy, Adventure","Eddie Redmayne, Katherine Waterston, Dan Fogler",,"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.",From J.K. Rowling's wizarding world.
Fargo,1996,"Crime, Drama, Thriller","Frances McDormand, William H. Macy, Steve Buscemi",,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",A homespun murder story.
Fast & Furious Presents: Hobbs & Shaw,2019,"Action, Adventure, Comedy","Dwayne Johnson, Jason Statham, Idris Elba",,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, they join forces to defeat him.",Nothing is stronger than family.
Fast Five,2011,"Action, Thriller, Crime","Vin Diesel, Paul Walker, Jordana Brewster",,"Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom.",Get the fifth gear.
Fast X,2023,"Action, Crime, Thriller","Vin Diesel, Michelle Rodriguez, Tyrese Gibson",,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",The end of the road begins.
Fatal Attraction,1987,"Thriller, Drama, Romance","Michael Douglas, Glenn Close, Anne Archer",,A married man's one-night stand comes back to haunt him when that lover begins to stalk him and his family.,A look that led to an evening. A mistake he'll regret... FOR THE REST OF HIS LIFE.
Fences,2016,Drama,"Denzel Washington, Viola Davis, Stephen McKinley Henderson",,"In 1950s Pittsburgh, a frustrated African-American father struggles with the constraints of poverty, racism, and his own inner demons as he tries to raise a family.","Some people build fences to keep people out, and other people build fences to keep people in."
Fiddler on the Roof,1971,"Drama, Romance","Chaim Topol, Norma Crane, Leonard Frey",,"In a pre-revolutionary Russia, a poor Jewish milkman struggles with the challenges of a changing world as his daughters fall in love and antisemitism grows.",To Life!
Field of Dreams,1989,"Drama, Fantasy","Kevin Costner, Amy Madigan, Gaby Hoffmann",,"Ray Kinsella is an Iowa farmer who hears a mysterious voice telling him to turn his cornfield into a baseball diamond. He does, but the voice's directions don't stop -- even after the spirits of deceased ballplayers turn up to play.","All his life, Ray Kinsella was searching for his dreams. Then one day, his dreams came looking for him."
Finding Dory,2016,"Adventure, Animation, Family","Albert Brooks, Ellen DeGeneres, Ed O'Neill",,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,An unforgettable journey she probably won't remember.
Finding Neverland,2004,"Drama, Fantasy","Johnny Depp, Kate Winslet, Julie Christie",,"During a writing slump, playwright J.M. Barrie meets a widow and her four children, all young boys—who soon become an important part of Barrie’s life and the inspiration that lead him to create his masterpiece. Peter Pan.",Where will your imagination take you?
Five Nights at Freddy's,2023,"Horror, Thriller","Josh Hutcherson, Piper Rubio, Elizabeth Lail",,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",Can you survive five nights?
Flashdance,1983,"Drama, Romance","Jennifer Beals, Michael Nouri, Sunny Johnson",,"Alex Owens, a young woman juggling between two odd jobs, aspires to become a successful ballet dancer. Nick, who is her boss and lover, supports and encourages her to fulfil her dream.",Something happens when she hears the music... it's her freedom. It's her fire. It's her life.
Footloose,2011,"Drama, Music, Romance","Dennis Quaid, Kenny Wormald, Julianne Hough",,"Ren MacCormack is transplanted from Boston to the small southern town of Bomont where loud music and dancing are prohibited. Not one to bow to the status quo, Ren challenges the ban, revitalizing the town and falling in love with the minister’s troubled daughter Ariel in the process.",There comes a time to cut loose
Ford v Ferrari,2019,"Drama, Action, History","Matt Damon, Christian Bale, Jon Bernthal",,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",They took the American dream for a ride.
Four Weddings and a Funeral,1994,"Comedy, Drama, Romance","Hugh Grant, Andie MacDowell, Kristin Scott Thomas",,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.",Five good reasons to stay single.
Frankenstein,2025,"Drama, Fantasy, Horror","Oscar Isaac, Jacob Elordi, Christoph Waltz",,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",Only monsters play God.
Friday the 13th,1980,Horror,"Adrienne King, Betsy Palmer, Kevin Bacon",,Camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp that was the site of a child's drowning.,"They were warned...They are doomed...And on Friday the 13th, nothing will save them."
Frost/Nixon,2008,"Drama, History","Frank Langella, Michael Sheen, Kevin Bacon",,"For three years after being forced from office, Nixon remained silent. But in summer 1977, the steely, cunning former commander-in-chief agreed to sit for one all-inclusive interview to confront the questions of his time in office and the Watergate scandal that ended his presidency. Nixon surprised everyone in selecting Frost as his televised confessor, intending to easily outfox the breezy British showman and secure a place in the hearts and minds of Americans. Likewise, Frost's team harboured doubts about their boss's ability to hold his own. But as the cameras rolled, a charged battle of wits resulted.",400 million people were waiting for the truth.
Frozen II,2019,"Family, Animation, Adventure","Idina Menzel, Kristen Bell, Josh Gad",,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",The past is not what it seems.
Fun with Dick and Jane,2005,"Comedy, Crime","Jim Carrey, Téa Leoni, Alec Baldwin",,"After Dick Harper loses his job at Globodyne in an Enron-esque collapse, he and his wife, Jane, turn to crime in order to handle the massive debt they now face. Two intelligent people, Dick and Jane actually get pretty good at robbing people and even enjoy it -- but they have second thoughts when they're reminded that crime can hurt innocent people. When the couple hears that Globodyne boss Jack McCallister actually swindled the company, they plot revenge.",Giving big businesses a run for their money!
Funny Lady,1975,"Comedy, Drama, Romance","Barbra Streisand, James Caan, Omar Sharif",,"Famous singer Fanny Brice has divorced her first husband Nicky Arnstein. During the Great Depression she has trouble finding work as an artist, but meets Billy Rose, a newcomer who writes lyrics and owns a nightclub.",How Lucky Can You Get!
Furious 7,2015,"Action, Crime, Thriller","Vin Diesel, Paul Walker, Dwayne Johnson",,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Vengeance hits home.
Gandhi,1982,"Drama, History","Ben Kingsley, Candice Bergen, Edward Fox",,"In the early years of the 20th century, Mohandas K. Gandhi, a British-trained lawyer, forsakes all worldly possessions to take up the cause of Indian independence. Faced with armed resistance from the British government, Gandhi adopts a policy of 'passive resistance', endeavouring to win freedom for his people without resorting to bloodshed.",His triumph changed the world forever.
Gangs of New York,2002,"Drama, History, Crime","Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz",,"In early 1860s New York, Irish immigrant Amsterdam Vallon is released from prison and returns to the Five Points, seeking revenge against his father's killer, William Cutting, a powerful anti-immigrant gang leader. He knows that revenge can only be attained by infiltrating Cutting's inner circle. Vallon's journey becomes a fight for personal survival and to find a place for the Irish people.",America was born in the streets.
Ghost,1990,"Fantasy, Romance, Thriller","Demi Moore, Patrick Swayze, Whoopi Goldberg",,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.","Before Sam was murdered, he told Molly he'd love and protect her forever."
Godzilla vs. Kong,2021,"Action, Science Fiction, Adventure","Alexander Skarsgård, Rebecca Hall, Kaylee Hottle",,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",One will fall.
Godzilla x Kong: The New Empire,2024,"Action, Adventure, Science Fiction","Rebecca Hall, Brian Tyree Henry, Dan Stevens",,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",Rise together or fall alone.
GoldenEye,1995,"Adventure, Action, Thriller","Pierce Brosnan, Sean Bean, Izabella Scorupco",,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",No limits. No fears. No substitutes.
"Good Morning, Vietnam",1987,"Comedy, Drama, War","Robin Williams, Forest Whitaker, Tom T. Tran",,"A disk jockey goes to Vietnam to work for the Armed Forces Radio Service. While he becomes popular among the troops, his superiors disapprove of his humor.",The wrong man. In the wrong place. At the right time.
"Good Night, and Good Luck.",2005,"Drama, History","David Strathairn, Patricia Clarkson, George Clooney",,The story of journalist Edward R. Murrow's stand against Senator Joseph McCarthy's anti-communist witch-hunts in the early 1950s.,We will not walk in fear of one another.
Good Will Hunting,1997,Drama,"Matt Damon, Robin Williams, Ben Affleck",,"Will Hunting is a headstrong, working-class genius who is failing the lessons of life. After one too many run-ins with the law, Will's last chance is a psychology professor, who might be the only man who can reach him.","Some people can never believe in themselves, until someone believes in them."
Gosford Park,2001,"Drama, Mystery, Thriller","Maggie Smith, Michael Gambon, Kristin Scott Thomas",,"In 1930s England, a group of pretentious rich and famous gather together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect.",Tea at four. Dinner at eight. Murder at midnight.
Gravity,2013,"Science Fiction, Thriller, Drama","Sandra Bullock, George Clooney, Ed Harris",,"Dr Ryan Stone, an engineer on her first space mission, and Matt Kowalski, an astronaut on his final expedition, have to survive in space after they are hit by debris while spacewalking.",Don't let go.
Grease,1978,"Romance, Comedy","Olivia Newton-John, John Travolta, Stockard Channing",,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",Grease is the word.
Green Book,2018,"Drama, Comedy, History","Viggo Mortensen, Mahershala Ali, Linda Cardellini",,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",Inspired by a True Friendship.
Gremlins,1984,"Fantasy, Horror, Comedy","Zach Galligan, Phoebe Cates, Hoyt Axton",,"After receiving an exotic small animal as a Christmas gift, a young man inadvertently breaks three important rules concerning his new pet, which unleashes a horde of malevolently mischievous creatures on a small town.",Cute. Clever. Mischievous. Intelligent. Dangerous.
Guardians of the Galaxy Vol. 2,2017,"Science Fiction, Adventure, Action","Chris Pratt, Zoe Saldaña, Dave Bautista",,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,Anyone can save the galaxy once.
Guardians of the Galaxy Vol. 3,2023,"Science Fiction, Adventure, Action","Chris Pratt, Zoe Saldaña, Dave Bautista",,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",Once more with feeling.
Hacksaw Ridge,2016,"Drama, History, War","Andrew Garfield, Sam Worthington, Vince Vaughn",,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",One of the greatest heroes in American history never fired a bullet.
Halloween Ends,2022,"Horror, Thriller","Jamie Lee Curtis, Andi Matichak, James Jude Courtney",,"Four years after the events of Halloween in 2018, Laurie has decided to liberate herself from fear and rage and embrace life. But when a young man is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can’t control, once and for all.",Only one of them will survive.
Halloween II,1981,Horror,"Jamie Lee Curtis, Donald Pleasence, Charles Cyphers",,"After failing to kill stubborn survivor Laurie and taking a bullet or six from former psychiatrist Dr. Sam Loomis, Michael Myers has followed Laurie to the Haddonfield Memorial Hospital, where she's been admitted for Myers' attempt on her life. The institution proves to be particularly suited to serial killers, however, as Myers cuts, stabs and slashes his way through hospital staff to reach his favorite victim.",More of the night he came home.
Halloween Kills,2021,Horror,"Jamie Lee Curtis, Judy Greer, Andi Matichak",,"Michael manages to free himself from Laurie Strode's trap to resume his ritual bloodbath. As she fights for her life from injuries from their last encounter, she inspires her daughter Karen, her granddaughter Allyson, and all of Haddonfield to rise up against the unstoppable monster.",Evil dies tonight.
Hamnet,2025,"Drama, Romance, History","Jessie Buckley, Paul Mescal, Emily Watson",,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.",Keep your heart open.
Hancock,2008,"Fantasy, Action","Will Smith, Charlize Theron, Jason Bateman",,"Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?",There are heroes. There are superheroes. And then there's Hancock.
Hannah and Her Sisters,1986,"Comedy, Drama","Mia Farrow, Barbara Hershey, Dianne Wiest",,"Between two Thanksgivings, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",A story between two Thanksgivings.
Harry Potter and the Chamber of Secrets,2002,"Adventure, Fantasy","Daniel Radcliffe, Rupert Grint, Emma Watson",,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione's magical abilities and courage.",Something evil has returned to Hogwarts!
Harry Potter and the Goblet of Fire,2005,"Adventure, Fantasy","Daniel Radcliffe, Rupert Grint, Emma Watson",,"When his name emerges from the Goblet of Fire, Harry Potter becomes a competitor in a grueling battle for glory among three wizarding schools. Signs of Voldemort's return emerge as Harry's friends help him prepare for the Triwizard Tournament.",Dark and difficult times lie ahead.
Harry Potter and the Half-Blood Prince,2009,"Adventure, Fantasy","Daniel Radcliffe, Rupert Grint, Emma Watson",,Dumbledore tries to prepare Harry for the final battle with Voldemort while Death Eaters wreak havoc in both Muggle and Wizard worlds.,Dark secrets revealed.
Harry Potter and the Order of the Phoenix,2007,"Adventure, Fantasy","Daniel Radcliffe, Rupert Grint, Emma Watson",,"When a new professor's methods leave Hogwarts unprepared to fight the rising tide of evil, Harry teaches students how to defend against the dark arts.",The rebellion begins.
Heaven Can Wait,1978,"Fantasy, Comedy, Romance","Warren Beatty, Julie Christie, James Mason",,"Joe Pendleton is a quarterback preparing to lead his team to the superbowl when he is almost killed in an accident. An overanxious angel plucks him to heaven only to discover that he wasn't ready to die, and that his body has been cremated. A new body must be found, and that of a recently-murdered millionaire is chosen. His wife and accountant—the murderers—are confused by this development, as he buys the L.A. Rams in order to once again quarterback them into the Superbowl.",Joe Pendleton... the only guy who ever raised Hell about going to Heaven.
Hell or High Water,2016,"Western, Crime, Drama","Jeff Bridges, Chris Pine, Ben Foster",,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,Blood always follows money.
Her,2013,"Romance, Science Fiction, Drama","Joaquin Phoenix, Scarlett Johansson, Lynn Adrianna",,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",A Spike Jonze love story.
Herbie Goes to Monte Carlo,1977,"Romance, Comedy, Family","Dean Jones, Don Knotts, Julie Sommars",,"Herbie, the Volkswagen Beetle with a mind of its own, is racing in the Monte Carlo Rally. But thieves have hidden a cache of stolen diamonds in Herbie's gas tank, and are now trying to get them back.",The Love Bug falls 'hood-over-wheels' for a classy chassis!
"Hi, Mom!",1970,"Comedy, Crime","Robert De Niro, Jennifer Salt, Allen Garfield",,"Vietnam vet Jon Rubin returns to New York and rents a rundown flat in Greenwich Village. It is in this flat that he begins to film, 'Peeping Tom' style, the people in the apartment across the street. His obsession with making films leads him to fall in with a radical 'Black Power' group, which in turn leads him to carry out a bizarre act of urban terrorism.","God bless our humble upper-middle-class high-rise co-op and keep it free from smut peddlers, militants, urban guerrillas and Greenwich Village liberals."
Hidden Figures,2016,"Drama, History","Taraji P. Henson, Octavia Spencer, Janelle Monáe",,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.","Meet the women you don't know, behind the mission you do."
Highlander,1986,"Adventure, Action, Fantasy","Christopher Lambert, Roxanne Hart, Clancy Brown",,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,There can be only one.
Hocus Pocus,1993,"Fantasy, Comedy, Family","Bette Midler, Sarah Jessica Parker, Kathy Najimy",,"After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it is up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all.",It's just a bunch of Hocus Pocus.
Home Alone 3,1997,"Comedy, Family","Alex D. Linz, Olek Krupa, Rya Kihlstedt",,"9-year-old Alex Pruitt is home alone with the chicken pox. Turns out, due to a mix-up among nefarious spies, Alex was given a toy car concealing a top-secret microchip. Now Alex must fend off the spies as they try to break into his house to get it back.",There's a new kid on the block.
Hook,1991,"Adventure, Fantasy, Comedy","Dustin Hoffman, Robin Williams, Julia Roberts",,"The boy who wasn't supposed to grow up—Peter Pan—does just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. During his trip to see Granny Wendy in London, the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland.",To live would be an awfully big adventure.
Hooper,1978,"Action, Comedy","Burt Reynolds, Jan-Michael Vincent, Sally Field",,"Legendary stunt man Sonny Hooper remains one of the top men in his field, but due to too many stressful impacts to the spine and the need to pop painkillers several times a day, he knows he should get out of the industry before he ends up permanently disabled.",Ain't nobody can fly a car like Hooper!
Hope and Glory,1987,"Drama, War, Family","Sebastian Rice-Edwards, Geraldine Muir, Sarah Miles",,A middle-aged man recalls his childhood growing up in and around London during World War II.,The epic story of a world at war. And a boy at play.
Hotel Transylvania,2012,"Animation, Comedy, Family","Adam Sandler, Andy Samberg, Selena Gomez",,"Welcome to Hotel Transylvania, Dracula's lavish five-stake resort, where monsters and their families can live it up and no humans are allowed. One special weekend, Dracula has invited all his best friends to celebrate his beloved daughter Mavis's 118th birthday. For Dracula catering to all of these legendary monsters is no problem but the party really starts when one ordinary guy stumbles into the hotel and changes everything!",Where monsters go to get away from it all.
Hotel Transylvania 2,2015,"Animation, Comedy, Family","Adam Sandler, Andy Samberg, Selena Gomez",,"When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool.",They're back to raise a little terror.
Hotel Transylvania 3: Summer Vacation,2018,"Animation, Comedy, Family","Adam Sandler, Andy Samberg, Selena Gomez",,"Dracula, Mavis, Johnny and the rest of the Drac Pack take a vacation on a luxury Monster Cruise Ship, where Dracula falls in love with the ship’s captain, Ericka, who’s secretly a descendant of Abraham Van Helsing, the notorious monster slayer.",He's going to need a vacation after this vacation.
How the Grinch Stole Christmas,2000,"Family, Comedy, Fantasy","Jim Carrey, Taylor Momsen, Jeffrey Tambor",,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,You better watch out!
How to Train Your Dragon,2010,"Fantasy, Adventure, Animation","Jay Baruchel, Gerard Butler, Craig Ferguson",,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",What started as fire and fury will become friendship.
How to Train Your Dragon 2,2014,"Fantasy, Action, Adventure","Jay Baruchel, Cate Blanchett, Gerard Butler",,"Five years after uniting the dragons and Vikings of Berk, Hiccup and Toothless soar beyond their homeland, charting the vast unknown. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider with a startling connection to Hiccup. And as the ruthless dragon conqueror Drago Bludvist rises to seize control of both dragons and people alike, Hiccup must step into his role as a true leader and, alongside his friends and Toothless, protect Berk from a devastating war.",Training is over. The adventure begins.
How to Train Your Dragon: The Hidden World,2019,"Animation, Family, Adventure","Jay Baruchel, America Ferrera, F. Murray Abraham",,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",Fly on your own. Find your way home.
Howards End,1992,"Drama, Romance","Emma Thompson, Helena Bonham Carter, Anthony Hopkins",,"A saga of class relations and changing times in an Edwardian England on the brink of modernity, the film centers on liberal Margaret Schlegel, who, along with her sister Helen, becomes involved with two couples: wealthy, conservative industrialist Henry Wilcox and his wife Ruth, and the downwardly mobile working-class Leonard Bast and his mistress Jackie.",Based on the Novel by E.M. Forster
Hugo,2011,"Adventure, Drama, Family","Asa Butterfield, Ben Kingsley, Chloë Grace Moretz",,"Orphaned and alone except for an uncle, Hugo Cabret lives in the walls of a train station in 1930s Paris. Hugo's job is to oil and maintain the station's clocks, but to him, his more important task is to protect a broken automaton and notebook left to him by his late father. Accompanied by the goddaughter of an embittered toy merchant, Hugo embarks on a quest to solve the mystery of the automaton and find a place he can call home.",One of the most legendary directors of our time takes you on an extraordinary adventure.
I Am Legend,2007,"Drama, Science Fiction, Thriller","Will Smith, Alice Braga, Charlie Tahan",,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",The last man on Earth is not alone.
I Know What You Did Last Summer,2025,"Horror, Thriller, Mystery","Chase Sui Wonders, Madelyn Cline, Sarah Pidgeon",,"When five friends inadvertently cause a deadly car accident, they cover up their involvement and make a pact to keep it a secret rather than face the consequences. A year later, their past comes back to haunt them and they're forced to confront a horrifying truth: someone knows what they did last summer…and is hell-bent on revenge.",You get the ending you deserve.
